,0
Oxr1,0.000668544321988
Myl4,0.000668426644759
Nsg1,0.000667876465722
Nme1,0.00066712888794
Klhl2,0.000667087153298
Canx,0.000666997893223
Scn2a1,0.000666816536682
Cntn1,0.000664261736577
Rab2a,0.00066359470454
Bcl11b,0.000662830983654
Atp6v1c1,0.000661277829909
Tprgl,0.000661077448519
Sept8,0.000660305617785
Dlg1,0.000658829225491
Gaa,0.000657316729392
Rundc3a,0.00065621258997
Syt11,0.000654932313302
Atp5k,0.000653911376792
Scg2,0.000653215316519
Gabarapl2,0.000652448990409
Snhg11,0.000650327394086
Tusc3,0.000650320101345
Map4,0.0006502669031
Ppp1cb,0.000649759859979
Dner,0.000649594439569
Ghitm,0.000648881600068
Slc4a4,0.000647050689147
H3f3b,0.000646413923969
Bhlhe22,0.000645573045742
Mgll,0.000645329983638
Bsg,0.000644278407837
Atp5e,0.000644227339074
Ap2m1,0.000642814252918
Slc25a5,0.000641596369393
Tcf4,0.000639777981488
Glud1,0.000636212274928
Dnaja1,0.000631912812115
Hsbp1,0.000631661153575
Ube2ql1,0.000631239239606
Crym,0.000630492561443
Eno2,0.000628915887337
Cap2,0.00062862849019
Scoc,0.000628049345345
Gabarapl1,0.000626303326594
Epha4,0.000625943266613
Elmo1,0.000625595786101
Trim9,0.000624640310694
Brsk1,0.000624362717361
Ldha,0.00062421405182
Dcn,0.000623909772689
Rps15,0.000622746243815
Ociad1,0.000618936714003
Timp2,0.000618417303079
Oxt,0.000618343765883
Fezf2,0.000617344375674
Ptprz1,0.000614737339753
Nr4a2,0.000613668143239
Rps13,0.000613451451656
Pgbd5,0.000612973669285
Ppp2r2c,0.000612531783144
Rasl11b,0.000611707024335
Dbn1,0.000610316695501
Ndufc1,0.000609021269268
Camk2n2,0.000608695344477
Igsf1,0.000607421730994
Sirpa,0.000606117087898
Fgf13,0.00060573900988
Fabp3,0.000605354268828
Pou3f1,0.000605093352601
Nat8l,0.000605064473261
Emc10,0.000604548716288
Calb1,0.000604000452054
Ctsb,0.000602248460661
Grik5,0.000602007008271
Avp,0.000601247687566
Idh3a,0.000600498494998
Capza2,0.000599689193579
Spock3,0.000598685551092
Bin1,0.000597709083634
Ywhae,0.000597030548953
Lamp5,0.000595034816617
Nrxn3,0.000594387174993
Ptn,0.000593920690422
X9430020K01Rik,0.000593290845127
Ndufa13,0.000592275139496
Tmem30a,0.000590802781592
Gng7,0.000590669989273
Kcnj4,0.000590330449735
Rpl27a,0.000589540864738
Rpl37a,0.000589079899403
Tpi1,0.000588802875182
Klc2,0.000588435543726
Vamp1,0.000587364642266
Cbx6,0.000586004640626
Rab5a,0.000585415888438
Vdac2,0.000585288388756
Shox2,0.000584862382316
Lrrtm1,0.000584735079829
Adap1,0.000584542420571
Dzank1,0.000584231043575
Abr,0.00058295680598
Kif5c,0.000582844590694
Nol4,0.000582542698144
Hnrnpk,0.000581412694928
Adarb1,0.000581152891783
Pde1b,0.000581019447584
Tspan3,0.000579370351415
Unc13a,0.000579366302383
Slc39a12,0.000579031949395
Stxbp5,0.000576941814804
Chchd2,0.000575482475342
Atl1,0.000575338232753
Serinc3,0.000575126928042
Nlk,0.000574397047428
Rnf11,0.000574058365637
Cnn3,0.000573919327691
Plekhg1,0.000573728258916
Ppp1r14a,0.000571918396463
Rps10,0.000571847729187
Ppp3cb,0.000570391759106
Stum,0.000569493360366
